,pos,tag,importance
time,['NOUN'],['NN'],[0.0328257513]
of,['ADP'],['IN'],[0.03262876099]
album,['NOUN'],['NN'],[0.0326011483]
did,['VERB'],['VBD'],[0.0273303464]
",",['PUNCT'],"[',']",[0.02720547000000001]
with,['ADP'],['IN'],[0.016422868]
Mitchell,['PROPN'],['NNP'],[0.014071465]
saying,['VERB'],['VBG'],[0.006821513]
rest,['NOUN'],['NN'],[0.0059877669]
thinking,['VERB'],['VBG'],[0.0055865496]
customers,['NOUN'],['NNS'],[0.004739309999999997]
see,['VERB'],['VB'],[0.0030593873000000003]
ON,['ADP'],['IN'],[0.0006474397]
simple,['ADJ'],['JJ'],[-8.016825e-06]
no,['DET'],['DT'],[-0.0031674253]
at,['ADP'],['IN'],[-0.004473209000000002]
my,['PRON'],['PRP$'],[-0.008942112120000002]
wins,['VERB'],['VBZ'],[-0.015319182000000004]
total,['ADJ'],['JJ'],[-0.018876493]
article,['NOUN'],['NN'],[-0.022109500000000004]
a,"['DET', 'PRON']",['DT'],[-0.02863598599999999]
solo,['NOUN'],['NN'],[-0.060753820000000014]
riding,['VERB'],['VBG'],[-0.077147]
Jackson,['PROPN'],['NNP'],[-0.07818126000000003]
caller,['NOUN'],['NN'],[-0.08977795]
by,['ADP'],['IN'],[-0.110113144]
here,['ADV'],['RB'],[-0.12132406]
help,['VERB'],['VB'],[-0.1598835]
days,['NOUN'],['NNS'],[-0.16927481549999995]
good,['ADJ'],['JJ'],[-0.1963118155]
was,['AUX'],['VBD'],[-0.19782352450000001]
in,['ADP'],"['IN', 'RP']",[-0.2083909893]
fired,['VERB'],['VBD'],[-0.21084928499999997]
look,['NOUN'],['NN'],[-0.230071061]
fed,['VERB'],['VBD'],[-0.2422227899999999]
refugees,['NOUN'],['NNS'],[-0.274364448]
fans,['NOUN'],['NNS'],[-0.2745366]
has,['VERB'],['VBZ'],[-0.2804207857]
wasted,['VERB'],['VBD'],[-0.33502483]
feels,['VERB'],['VBZ'],[-0.3379657199999999]
But,['CCONJ'],['CC'],[-0.39809227]
we,['PRON'],['PRP'],[-0.40414142499999994]
say,['VERB'],['VB'],[-0.41913223]
American,['PROPN'],['NNP'],[-0.4234843167]
Jay,['PROPN'],['NNP'],[-0.4346942939999999]
already,['ADV'],['RB'],[-0.43643904]
five,['NUM'],['CD'],[-0.453805914]
for,['ADP'],['IN'],[-0.5004790423000001]
times,['NOUN'],['NNS'],[-0.5091207]
wants,['VERB'],['VBZ'],[-0.5167191703999999]
is,['AUX'],['VBZ'],[-0.54982995]
u,['NOUN'],['NN'],[-0.5786143495999999]
r,"['AUX', 'NOUN']","['NN', 'VBP']",[-0.590087179]
started,['VERB'],['VBD'],[-0.6004676780000001]
fixing,['VERB'],['VBG'],[-0.6735382]
face,['NOUN'],['NN'],[-0.6783564099999999]
C,['NOUN'],['NN'],[-0.682095514]
because,['SCONJ'],['IN'],[-0.8145036620000001]
the,['DET'],['DT'],[-0.8414665138]
vom,['NOUN'],['NN'],[-0.85510588]
named,['VERB'],['VBN'],[-0.86280825]
headed,['VERB'],['VBD'],[-0.8724441299999999]
When,['SCONJ'],['WRB'],[-0.967379564]
some,['PRON'],['DT'],[-0.97922778]
tool,['NOUN'],['NN'],[-0.9837207810000002]
In,['ADP'],['IN'],[-0.9952144699999999]
Another,['PRON'],['DT'],[-1.0076065]
called,['VERB'],['VBN'],[-1.0214262100000002]
who,['PRON'],['WP'],[-1.0716624350000001]
<,['X'],['XX'],[-1.0883579249999997]
and,['CCONJ'],['CC'],[-1.1716689941]
What,"['DET', 'PRON']","['WDT', 'WP']",[-1.215452672]
done,['VERB'],['VBN'],[-1.33883381]
like,"['ADP', 'SCONJ']",['IN'],[-1.7293839000000002]
am,['AUX'],['VBP'],[-1.97650953]
said,['VERB'],['VBD'],[-1.98850724]
personally,['ADV'],['RB'],[-2.07419397]
“,['PUNCT'],['``'],[-2.108527426]
labeled,['VERB'],['VBD'],[-2.1628269625]
coming,['VERB'],['VBG'],[-2.20679761]
You,['PRON'],['PRP'],[-2.2843493390000003]
Go,['VERB'],['VB'],[-2.5078278]
"""",['PUNCT'],['``'],[-2.569224522]
fresh,['ADJ'],['JJ'],[-2.57596492]
us,['PRON'],['PRP'],[-2.643116474]
film,['NOUN'],['NN'],[-2.701258675]
yourself,['PRON'],['PRP'],[-2.75981143]
',['PUNCT'],['``'],[-3.686315348]
Her,['PRON'],['PRP$'],[-3.7147493497]
they,['PRON'],['PRP'],[-4.472630972]
